frame_index,time_sec,roi,label,kind,center_x,center_y,confidence,r,g,b,mask_pixels,mask_confidence,center_motion_px
0,0.0,eyes,Eyes,face,348.2567433020237,401.43534422842686,0.8624275028705597,129.06624605678235,94.32492113564669,75.49211356466877,317,0.893490195274353,
0,0.0,nose,Nose bridge,face,354.8984375,425.4609375,0.8204879760742188,20.68027210884354,15.104308390022675,11.587301587301587,441,0.893490195274353,
0,0.0,earbases,Ear bases,face,263.7890625,345.0703125,0.5546835064888,177.7788279773157,149.0359168241966,132.22306238185254,529,0.893490195274353,
0,0.0,neck,Neck,body,354.8984375,334.3515625,0.4670652747154236,209.06342913776015,185.70465807730426,171.10009910802776,1009,0.893490195274353,
0,0.0,throat,Throat,body,370.9765625,489.7734375,0.5888921618461609,67.90651558073654,66.72804532577904,59.626062322946176,353,0.893490195274353,
0,0.0,upper_body,Upper body,body,,,,,,,0,0.893490195274353,
0,0.0,mouth_artifact,Mouth artifact,artifact,354.8984375,446.8984375,0.6476699709892273,71.1304347826087,56.81474480151229,50.93950850661626,529,0.893490195274353,
0,0.0,front_paw_artifact,Front paw artifact,artifact,367.0938004339743,580.550308465282,0.8716219067573547,,,,0,0.893490195274353,
1,0.2,eyes,Eyes,face,336.72850784509995,392.61080781032666,0.8640955984592438,131.8801261829653,98.59621451104101,79.23659305993691,317,0.8794622421264648,14.518011425283111
1,0.2,nose,Nose bridge,face,345.2109375,422.7578125,0.851305365562439,16.764172335600907,11.612244897959183,10.047619047619047,441,0.8794622421264648,10.057561385128356
1,0.2,earbases,Ear bases,face,257.4609375,335.0078125,0.6467378735542297,183.76748582230624,156.91493383742912,139.55387523629489,529,0.8794622421264648,11.886928630458963
1,0.2,neck,Neck,body,,,,,,,0,0.8794622421264648,
1,0.2,throat,Throat,body,361.6640625,483.0859375,0.5371039509773254,62.72478386167147,61.28530259365994,54.706051873198845,694,0.8794622421264648,11.464960204902589
1,0.2,upper_body,Upper body,body,361.6640625,274.6796875,0.5995314717292786,220.67248062015503,195.51356589147287,180.47868217054264,1548,0.8794622421264648,
1,0.2,mouth_artifact,Mouth artifact,artifact,345.2109375,443.63233207995785,0.5704936683177948,88.51417769376181,72.99054820415878,64.09073724007561,529,0.8794622421264648,10.223262730891186
1,0.2,front_paw_artifact,Front paw artifact,artifact,357.66495111416145,575.9821164108671,0.8591434359550476,,,,0,0.8794622421264648,10.477193237778657
2,0.4,eyes,Eyes,face,340.53865266255167,393.245505552647,0.8634534776210785,132.18296529968455,99.7981072555205,80.71293375394322,317,0.886885404586792,3.8626473763548077
2,0.4,nose,Nose bridge,face,344.1328125,423.265625,0.8528653979301453,16.299319727891156,10.895691609977325,9.698412698412698,441,0.886885404586792,1.1917327933648758
2,0.4,earbases,Ear bases,face,256.8828125,335.765625,0.6628921031951904,181.64650283553874,154.48960302457468,135.90170132325142,529,0.886885404586792,0.9531570179048413
2,0.4,neck,Neck,body,,,,,,,0,0.886885404586792,
2,0.4,throat,Throat,body,365.9453125,483.421875,0.5741366147994995,58.61355081555834,57.98494353826851,51.90715181932246,797,0.886885404586792,4.29440980419967
2,0.4,upper_body,Upper body,body,360.4921875,275.609375,0.5057528018951416,220.85660613650595,195.58860363180963,179.6123982467126,1597,0.886885404586792,1.4958642529592217
2,0.4,mouth_artifact,Mouth artifact,artifact,344.1328125,444.18153766054564,0.571046382188797,86.29111531190927,71.84499054820417,63.555765595463136,529,0.886885404586792,1.2099505301349214
2,0.4,front_paw_artifact,Front paw artifact,artifact,357.38466123093536,573.4527822142318,0.8387576341629028,,,,0,0.886885404586792,2.544817065509371
3,0.6,eyes,Eyes,face,337.99107694411913,393.0016319009764,0.8751584887504578,137.97476340694007,104.64353312302839,84.35015772870662,317,0.9001702070236206,2.5592218346845628
3,0.6,nose,Nose bridge,face,346.2890625,423.25,0.8507924675941467,18.292517006802722,12.566893424036282,10.54875283446712,441,0.9001702070236206,2.1563066115756824
3,0.6,earbases,Ear bases,face,258.0390625,335.25,0.6471632122993469,184.89792060491493,157.83175803402648,139.51984877126654,529,0.9001702070236206,1.2660107436846655
3,0.6,neck,Neck,body,,,,,,,0,0.9001702070236206,
3,0.6,throat,Throat,body,362.8359375,483.75,0.4843905568122864,59.47678795483061,58.68255959849435,51.78670012547052,797,0.9001702070236206,3.126640194561888
3,0.6,upper_body,Upper body,body,362.8359375,280.25,0.6183129549026489,221.0358009708738,196.0351941747573,179.7148058252427,1648,0.9001702070236206,5.198900311904913
3,0.6,mouth_artifact,Mouth artifact,artifact,346.2890625,444.3416860732099,0.5818515568971634,83.39886578449905,69.89413988657844,60.599243856332706,529,0.9001702070236206,2.1621890704975106
3,0.6,front_paw_artifact,Front paw artifact,artifact,357.40503523651387,574.3866206908496,0.8569908738136292,,,,0,0.9001702070236206,0.934060704941134
4,0.8,eyes,Eyes,face,334.23207350518356,388.6530115732632,0.8742712736129761,119.88643533123029,88.94952681388013,70.58675078864353,317,0.8901367783546448,5.748095824577903
4,0.8,nose,Nose bridge,face,332.5859375,415.890625,0.838956892490387,17.28344671201814,11.458049886621316,9.81859410430839,441,0.8901367783546448,15.554293142288723
4,0.8,earbases,Ear bases,face,246.3359375,334.796875,0.6506387591362,179.02457466918713,149.93194706994328,131.3610586011342,529,0.8901367783546448,11.711893827697125
4,0.8,neck,Neck,body,,,,,,,0,0.8901367783546448,
4,0.8,throat,Throat,body,359.5390625,480.765625,0.5779130458831787,59.15934755332497,58.26474278544542,51.82685069008783,797,0.8901367783546448,4.447007859926717
4,0.8,upper_body,Upper body,body,,,,,,,0,0.8901367783546448,
4,0.8,mouth_artifact,Mouth artifact,artifact,337.9765625,437.515625,0.6611354053020477,88.43100189035917,74.03213610586012,64.54631379962193,529,0.8901367783546448,10.756057178408447
4,0.8,front_paw_artifact,Front paw artifact,artifact,355.91964370852173,569.8947358275183,0.8167910277843475,,,,0,0.8901367783546448,4.731111668187031
5,1.0,eyes,Eyes,face,328.9273256921761,367.07984495385494,0.8956279456615448,125.73186119873817,93.96845425867508,73.64668769716089,317,0.904917299747467,22.215802199073476
5,1.0,nose,Nose bridge,face,330.15625,398.46875,0.8546124696731567,16.793650793650794,11.571428571428571,9.759637188208616,441,0.904917299747467,17.59048350282849
