selector,n,target_mae,target_rmse,range_mae,within_range_pct,median_harmonic_adjusted_pct
current_fit_rf_direct_hr_regression,7,0.065,0.14,0.0,100.0,0.0
oracle_harmonic_window_peak,7,0.1,0.108,0.013,85.71,0.0
current_fit_extra_trees_error_regressor_harmonic_tracked,7,0.131,0.157,0.013,85.71,30.0
current_fit_rf_error_regressor_harmonic_tracked,7,0.183,0.216,0.013,85.71,55.56
oracle_existing_window_peak,7,0.397,0.815,0.013,85.71,0.0
current_fit_rf_harmonic_tracked_kalman_ssm,7,2.276,2.763,0.167,85.71,88.89
current_fit_rf_harmonic_tracked,7,1.903,2.226,0.201,85.71,88.89
current_fit_histgb_harmonic_tracked_kalman_ssm,7,4.797,7.983,0.287,71.43,50.0
current_fit_histgb_harmonic_tracked,7,5.077,8.099,0.402,57.14,50.0
current_fit_extra_trees_harmonic_tracked_kalman_ssm,7,5.694,6.317,1.56,42.86,11.11
current_fit_extra_trees_harmonic_tracked,7,5.764,6.435,1.581,42.86,11.11
loocv_rf_classifier_tracked,7,46.148,59.354,39.791,0.0,0.0
loocv_rf_error_regressor_dog_panting_texture_harmonic_aware_viterbi,7,48.961,54.995,42.622,14.29,37.5
dog_panting_texture_reject_harmonic_aware_viterbi,7,49.594,62.93,43.237,0.0,0.0
harmonic_aware_viterbi_quality,7,49.657,62.884,43.3,0.0,0.0
harmonic_sqi_tracked,7,49.72,63.088,43.363,0.0,0.0
sqi_tracked_recheck,7,49.72,63.088,43.363,0.0,0.0
harmonic_sqi_top_window,7,49.783,63.174,43.426,0.0,11.11
sqi_top_window_recheck,7,49.908,63.194,43.551,0.0,0.0
localized_consensus_motion_reject_harmonic_aware_viterbi_kalman_ssm,7,49.995,63.087,43.637,0.0,0.0
consensus_motion_reject_top_window,7,50.034,63.214,43.677,0.0,0.0
localized_consensus_harmonic_aware_viterbi,7,50.159,63.302,43.802,0.0,0.0
localized_consensus_motion_reject_harmonic_aware_viterbi,7,50.159,63.302,43.802,0.0,0.0
dog_panting_texture_reject_harmonic_aware_viterbi_kalman_ssm,7,50.162,63.752,43.804,0.0,0.0
consensus_motion_reject_harmonic_aware_viterbi,7,50.222,63.437,43.865,0.0,0.0
harmonic_sqi_tracked_kalman_ssm,7,50.233,63.7,43.876,0.0,0.0
consensus_harmonic_aware_viterbi,7,50.285,63.543,43.928,0.0,0.0
consensus_motion_reject_harmonic_aware_viterbi_kalman_ssm,7,50.585,63.978,44.228,0.0,0.0
dog_upper_mid_mouth_reject_harmonic_aware_viterbi_kalman_ssm,7,50.74,64.747,44.382,0.0,0.0
dog_upper_mid_mouth_reject_harmonic_aware_viterbi,7,50.975,65.275,44.618,0.0,0.0
loocv_rf_error_regressor_consensus_motion_harmonic_aware_viterbi,7,51.441,57.4,45.102,14.29,43.75
loocv_rf_direct_hr_regression,7,58.478,61.962,52.121,0.0,0.0
loocv_rf_direct_hr_regression_kalman_ssm,7,59.534,63.362,53.177,0.0,0.0
loocv_histgb_direct_hr_regression,7,60.122,63.084,53.765,0.0,0.0
loocv_histgb_classifier_consensus_motion_harmonic_aware_viterbi,7,61.01,67.88,54.653,0.0,33.33
loocv_rf_classifier_consensus_motion_harmonic_aware_viterbi,7,60.619,68.105,55.033,14.29,88.89
loocv_rf_classifier_harmonic_tracked,7,62.318,70.948,55.961,0.0,100.0
loocv_extra_trees_classifier_consensus_motion_harmonic_aware_viterbi,7,62.726,72.086,56.512,14.29,100.0
loocv_rf_classifier_dog_panting_texture_harmonic_aware_viterbi,7,64.198,72.466,58.361,14.29,100.0
loocv_rf_classifier_harmonic_tracked_kalman_ssm,7,64.945,73.711,58.588,0.0,100.0
loocv_ridge_error_regressor_harmonic_tracked,7,66.479,77.037,60.195,14.29,100.0
loocv_extra_trees_classifier_harmonic_tracked,7,67.78,74.318,61.423,0.0,100.0
loocv_histgb_classifier_dog_panting_texture_harmonic_aware_viterbi,7,69.122,72.003,62.765,0.0,66.67
loocv_model_ensemble_median,7,70.333,76.135,63.976,0.0,100.0
loocv_histgb_classifier_harmonic_tracked,7,72.767,76.541,66.41,0.0,100.0
loocv_extra_trees_error_regressor_harmonic_tracked,7,80.579,83.19,74.222,0.0,100.0
loocv_rf_error_regressor_harmonic_tracked,7,90.309,92.977,83.952,0.0,88.89
loocv_histgb_error_regressor_harmonic_tracked,7,91.314,92.23,84.957,0.0,100.0
