video,window_index,window_start_sec,window_end_sec,roi_id,roi_label,roi_kind,method,preprocess,peak_rank,peak_bpm,bpm_min,bpm_max,bpm_target,target_abs_error,range_error,within_range,snr,total_power_ratio,spectral_entropy,h2_ratio,half_ratio,valid_fraction,box_motion,roi_motion,color_cv,motion_coherence,bg_motion_coherence,box_motion_coherence,motion_peak_bpm,bg_motion_peak_bpm,box_motion_peak_bpm,bg_motion_global_peak_bpm,box_motion_global_peak_bpm,artifact_100bpm,quality_score,artifact_state,keypoint_source,motion_aware_score,pet_state_keypoint_score
1.mp4,0,0.0,19.933,face_full,Face full,face,green,raw,1,134.033,170.0,180.0,175.0,40.967,35.967,False,28.966,0.025484,0.860095,0.000495,0.269524,0.0438,0.0,0.006063,0.116044,0.0,0.0,0.0,217.969,218.408,100.195,218.408,100.195,False,4.801525,stable_low_motion,,4.765146,4.965146
1.mp4,0,0.0,19.933,face_full,Face full,face,green,raw,2,97.998,170.0,180.0,175.0,77.002,72.002,False,16.369,0.014401,0.860095,0.022273,0.476931,0.0438,0.0,0.006063,0.116044,0.0,0.0,1.0,217.969,218.408,100.195,218.408,100.195,True,3.657613,100bpm_artifact,,1.721234,1.071234
1.mp4,0,0.0,19.933,face_full,Face full,face,green,bg_motion_residual,1,102.832,170.0,180.0,175.0,72.168,67.168,False,77.207,0.028536,0.806561,0.006177,0.213983,0.0438,0.0,0.006063,0.116044,0.0,0.0,1.0,217.969,218.408,100.195,218.408,100.195,True,5.956971,100bpm_artifact,,4.270593,3.620593
1.mp4,0,0.0,19.933,face_full,Face full,face,green,bg_motion_residual,2,95.801,170.0,180.0,175.0,79.199,74.199,False,65.867,0.024344,0.806561,0.006683,0.250824,0.0438,0.0,0.006063,0.116044,0.0,0.0,0.0,217.969,218.408,100.195,218.408,100.195,True,5.468064,100bpm_artifact,,5.131685,4.481685
1.mp4,0,0.0,19.933,face_full,Face full,face,chrom,raw,1,99.756,170.0,180.0,175.0,75.244,70.244,False,13.677,0.018203,0.888228,0.150959,0.21708,0.0438,0.0,0.006063,0.116044,0.0,0.0,1.0,217.969,218.408,100.195,218.408,100.195,True,3.861215,100bpm_artifact,,1.924837,1.274837
1.mp4,0,0.0,19.933,face_full,Face full,face,chrom,raw,2,93.604,170.0,180.0,175.0,81.396,76.396,False,13.291,0.017688,0.888228,0.036106,0.223397,0.0438,0.0,0.006063,0.116044,0.0,0.0,0.0,217.969,218.408,100.195,218.408,100.195,False,3.573458,stable_low_motion,,3.53708,3.73708
1.mp4,0,0.0,19.933,face_full,Face full,face,chrom,bg_motion_residual,1,95.801,170.0,180.0,175.0,79.199,74.199,False,72.848,0.03397,0.809909,0.011075,0.224001,0.0438,0.0,0.006063,0.116044,0.0,0.0,0.0,217.969,218.408,100.195,218.408,100.195,True,6.003872,100bpm_artifact,,5.667494,5.017494
1.mp4,0,0.0,19.933,face_full,Face full,face,chrom,bg_motion_residual,2,102.832,170.0,180.0,175.0,72.168,67.168,False,35.942,0.01676,0.809909,0.013152,0.454005,0.0438,0.0,0.006063,0.116044,0.0,0.0,1.0,217.969,218.408,100.195,218.408,100.195,True,4.593484,100bpm_artifact,,2.907106,2.257106
1.mp4,0,0.0,19.933,upper_face,Upper face,face,green,raw,1,94.482,170.0,180.0,175.0,80.518,75.518,False,24.039,0.020409,0.863758,0.025947,0.090994,0.0447,0.0,0.005076,0.155454,0.0,0.0,0.0,217.529,218.408,100.195,218.408,100.195,False,4.514955,stable_low_motion,,4.484498,4.684498
1.mp4,0,0.0,19.933,upper_face,Upper face,face,green,raw,2,101.074,170.0,180.0,175.0,73.926,68.926,False,17.491,0.014849,0.863758,0.033364,0.125063,0.0447,0.0,0.005076,0.155454,0.0,0.0,1.0,217.529,218.408,100.195,218.408,100.195,True,3.800365,100bpm_artifact,,1.869908,1.219908
