view,video,window_index,window_start_sec,window_end_sec,region_id,region_label,region_kind,method,peak_rank,peak_bpm,snr,total_power_ratio,spectral_entropy,h2_ratio,half_ratio,valid_fraction,box_motion,color_cv,quality_score,trained_selector_score
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,green,1,133.594,5.877,0.010079,0.928586,0.039964,0.210653,0.8734,0.0,0.026962,3.24417,0.11333333333333333
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,green,2,158.643,5.674,0.00973,0.928586,0.041395,0.218196,0.8734,0.0,0.026962,2.976734,0.07333333333333333
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,green,3,102.832,5.389,0.009241,0.928586,0.324245,0.229745,0.8734,0.0,0.026962,2.744069,0.04
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,green,4,88.77,5.376,0.009219,0.928586,0.645268,0.230305,0.8734,0.0,0.026962,2.585061,0.21333333333333335
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,g_minus_r,1,118.213,9.876,0.020692,0.918537,0.023685,0.133785,0.8734,0.0,0.026962,4.109285,0.14666666666666667
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,g_minus_r,2,189.844,3.504,0.00734,0.918537,0.096421,0.797688,0.8734,0.0,0.026962,2.37332,0.03333333333333333
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,g_minus_r,3,132.715,3.483,0.007296,0.918537,0.097004,0.379398,0.8734,0.0,0.026962,2.221662,0.07333333333333333
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,g_minus_r,4,175.342,3.119,0.006534,0.918537,0.108321,0.901687,0.8734,0.0,0.026962,1.782699,0.09333333333333334
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,chrom,1,104.15,7.525,0.013256,0.922944,0.061622,0.051075,0.8734,0.0,0.026962,3.634695,0.04666666666666667
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,chrom,2,125.244,6.476,0.011407,0.922944,0.053453,0.059354,0.8734,0.0,0.026962,3.203283,0.10666666666666667
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,chrom,3,187.646,4.318,0.007606,0.922944,0.080163,0.14477,0.8734,0.0,0.026962,2.449463,0.1
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,chrom,4,155.127,3.866,0.00681,0.922944,0.08954,0.099425,0.8734,0.0,0.026962,2.106908,0.03333333333333333
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,pos,1,104.15,7.753,0.013977,0.922723,0.056375,0.060213,0.8734,0.0,0.026962,3.685943,0.02666666666666667
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,pos,2,125.244,5.838,0.010525,0.922723,0.06175,0.079958,0.8734,0.0,0.026962,3.072084,0.09333333333333334
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,pos,3,187.646,4.246,0.007654,0.922723,0.08491,0.12171,0.8734,0.0,0.026962,2.44284,0.08666666666666667
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,pos,4,155.566,3.839,0.006921,0.922723,0.09391,0.121601,0.8734,0.0,0.026962,2.103818,0.03333333333333333
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,pca,1,108.545,7.397,0.013357,0.925915,0.005653,0.233711,0.8734,0.0,0.026962,3.574712,0.12
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,pca,2,153.809,5.997,0.010829,0.925915,0.002337,0.288287,0.8734,0.0,0.026962,3.055345,0.08666666666666667
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,pca,3,103.271,4.722,0.008526,0.925915,0.396338,0.366122,0.8734,0.0,0.026962,2.589318,0.04
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,pca,4,96.24,4.538,0.008194,0.925915,0.108938,0.380982,0.8734,0.0,0.026962,2.259473,0.04
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,ica,1,103.711,9.985,0.015321,0.911462,0.054735,0.085482,0.8734,0.0,0.026962,3.979992,0.03333333333333333
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,ica,2,107.666,8.033,0.012325,0.911462,0.032585,0.106261,0.8734,0.0,0.026962,3.439355,0.14
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,ica,3,155.127,5.807,0.00891,0.911462,0.052135,0.146982,0.8734,0.0,0.026962,2.777742,0.04666666666666667
front,front.mp4,0,0.0,19.933,face_full,Full face,roi,ica,4,125.244,4.805,0.007372,0.911462,0.063012,0.177649,0.8734,0.0,0.026962,2.315097,0.08666666666666667
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,green,1,114.258,6.766,0.012333,0.922271,0.046804,0.097861,0.8727,0.0,0.216562,3.491363,0.02
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,green,2,199.512,6.137,0.011186,0.922271,0.049442,0.450509,0.8727,0.0,0.216562,3.074912,0.14
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,green,3,119.531,5.687,0.010366,0.922271,0.032042,0.116427,0.8727,0.0,0.216562,2.809631,0.02
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,green,4,86.133,5.198,0.009475,0.922271,0.087292,0.127385,0.8727,0.0,0.216562,2.480948,0.09333333333333334
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,g_minus_r,1,119.971,13.482,0.019971,0.906285,0.052058,0.015811,0.8727,0.0,0.216562,4.431515,0.006666666666666667
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,g_minus_r,2,127.441,8.951,0.013258,0.906285,0.078415,0.023816,0.8727,0.0,0.216562,3.605806,0.04
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,g_minus_r,3,114.258,7.501,0.011112,0.906285,0.043268,0.028417,0.8727,0.0,0.216562,3.130298,0.013333333333333334
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,g_minus_r,4,135.352,7.21,0.01068,0.906285,0.097344,0.029565,0.8727,0.0,0.216562,2.866761,0.04666666666666667
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,chrom,1,171.826,7.066,0.013104,0.92273,0.034972,0.761344,0.8727,0.0,0.216562,3.437643,0.16
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,chrom,2,127.441,5.945,0.011025,0.92273,0.041566,0.223282,0.8727,0.0,0.216562,3.078546,0.04
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,chrom,3,84.814,5.8,0.010756,0.92273,0.714742,0.228873,0.8727,0.0,0.216562,2.959075,0.02666666666666667
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,chrom,4,158.203,4.178,0.007749,0.92273,0.059141,0.317695,0.8727,0.0,0.216562,2.172808,0.03333333333333333
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,pos,1,171.387,7.365,0.012347,0.91556,0.003934,0.353305,0.8727,0.0,0.216562,3.523747,0.08666666666666667
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,pos,2,100.195,6.516,0.010924,0.91556,0.344998,0.183672,0.8727,0.0,0.216562,3.234194,0.02
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,pos,3,157.764,6.462,0.010835,0.91556,0.004483,0.185186,0.8727,0.0,0.216562,2.934625,0.09333333333333334
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,pos,4,94.922,5.767,0.009668,0.91556,0.056449,0.20753,0.8727,0.0,0.216562,2.569347,0.11333333333333333
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,pca,1,171.826,7.0,0.013585,0.922463,0.028678,0.729106,0.8727,0.0,0.216562,3.451408,0.14666666666666667
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,pca,2,84.814,5.478,0.010633,0.922463,0.779115,0.239127,0.8727,0.0,0.216562,3.134449,0.04
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,pca,3,127.881,4.923,0.009554,0.922463,0.040778,0.266132,0.8727,0.0,0.216562,2.622219,0.08666666666666667
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,pca,4,158.203,4.313,0.00837,0.922463,0.046544,0.303761,0.8727,0.0,0.216562,2.229386,0.03333333333333333
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,ica,1,171.826,7.926,0.013928,0.918579,0.015869,0.755757,0.8727,0.0,0.216562,3.57618,0.1
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,ica,2,85.254,6.204,0.010902,0.918579,1.105174,0.249543,0.8727,0.0,0.216562,3.325187,0.09333333333333334
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,ica,3,158.643,5.015,0.008812,0.918579,0.02508,0.308732,0.8727,0.0,0.216562,2.599568,0.013333333333333334
front,front.mp4,1,5.0,24.933,face_full,Full face,roi,ica,4,129.199,4.15,0.007293,0.918579,0.030306,0.373059,0.8727,0.0,0.216562,2.134448,0.06666666666666667
front,front.mp4,2,10.0,29.933,face_full,Full face,roi,green,1,98.438,5.915,0.007737,0.915949,0.196072,0.275901,0.8803,0.0,0.509169,3.184296,0.006666666666666667
front,front.mp4,2,10.0,29.933,face_full,Full face,roi,green,2,141.064,5.851,0.007654,0.915949,0.000523,0.278881,0.8803,0.0,0.509169,2.9109,0.28
front,front.mp4,2,10.0,29.933,face_full,Full face,roi,green,3,116.455,5.154,0.006742,0.915949,0.028725,0.3166,0.8803,0.0,0.509169,2.532008,0.013333333333333334
