video,target,config,est_bpm,mae,n_valid_windows,use_temporal,use_adaptive,use_ensemble,mode
1,175.0,baseline_highhr+oracle,160.0,15.0,9,False,False,False,best_window
1,175.0,pure1_temporal_v1,160.0,15.0,9,True,False,False,best_window
1,175.0,pure2_adaptive,189.8,14.8,9,False,True,False,best_window
1,175.0,pure3_ensemble,124.6,50.4,9,False,False,True,best_window
1,175.0,combo1+2,174.6,0.4,9,True,True,False,best_window
1,175.0,combo1+3,136.9,38.1,9,True,False,True,best_window
1,175.0,combo2+3,124.6,50.4,9,False,True,True,best_window
1,175.0,combo1+2+3,168.2,6.8,9,True,True,True,best_window
1,175.0,ref_pos_no_prior,160.0,15.0,9,False,False,False,best_window
1,175.0,baseline_highhr+oracle,119.2,55.8,6,False,False,False,temporal
1,175.0,pure1_temporal_v1,160.0,15.0,6,True,False,False,temporal
1,175.0,pure2_adaptive,119.2,55.8,6,False,True,False,temporal
1,175.0,pure3_ensemble,127.7,47.3,6,False,False,True,temporal
1,175.0,combo1+2,172.0,3.0,6,True,True,False,temporal
1,175.0,combo1+3,138.2,36.8,6,True,False,True,temporal
1,175.0,combo2+3,138.4,36.6,6,False,True,True,temporal
1,175.0,combo1+2+3,168.0,7.0,6,True,True,True,temporal
1,175.0,ref_pos_no_prior,119.2,55.8,6,False,False,False,temporal
3,210.0,baseline_highhr+oracle,160.0,50.0,9,False,False,False,best_window
3,210.0,pure1_temporal_v1,148.2,61.8,9,True,False,False,best_window
3,210.0,pure2_adaptive,131.2,78.8,9,False,True,False,best_window
3,210.0,pure3_ensemble,196.3,13.7,9,False,False,True,best_window
3,210.0,combo1+2,146.5,63.5,9,True,True,False,best_window
3,210.0,combo1+3,133.8,76.2,9,True,False,True,best_window
3,210.0,combo2+3,144.4,65.6,9,False,True,True,best_window
3,210.0,combo1+2+3,139.7,70.3,9,True,True,True,best_window
3,210.0,ref_pos_no_prior,160.0,50.0,9,False,False,False,best_window
3,210.0,baseline_highhr+oracle,90.8,119.2,6,False,False,False,temporal
3,210.0,pure1_temporal_v1,140.6,69.4,6,True,False,False,temporal
3,210.0,pure2_adaptive,123.6,86.4,6,False,True,False,temporal
3,210.0,pure3_ensemble,113.2,96.8,6,False,False,True,temporal
3,210.0,combo1+2,139.7,70.3,6,True,True,False,temporal
3,210.0,combo1+3,130.4,79.6,6,True,False,True,temporal
3,210.0,combo2+3,125.1,84.9,6,False,True,True,temporal
3,210.0,combo1+2+3,133.7,76.3,6,True,True,True,temporal
3,210.0,ref_pos_no_prior,90.8,119.2,6,False,False,False,temporal
4,115.5,baseline_highhr+oracle,164.6,49.1,9,False,False,False,best_window
4,115.5,pure1_temporal_v1,182.8,67.3,9,True,False,False,best_window
4,115.5,pure2_adaptive,73.2,42.3,9,False,True,False,best_window
4,115.5,pure3_ensemble,91.1,24.4,9,False,False,True,best_window
4,115.5,combo1+2,152.3,36.8,9,True,True,False,best_window
4,115.5,combo1+3,180.6,65.1,9,True,False,True,best_window
4,115.5,combo2+3,91.1,24.4,9,False,True,True,best_window
4,115.5,combo1+2+3,169.2,53.7,9,True,True,True,best_window
4,115.5,ref_pos_no_prior,164.6,49.1,9,False,False,False,best_window
4,115.5,baseline_highhr+oracle,182.8,67.3,6,False,False,False,temporal
4,115.5,pure1_temporal_v1,182.2,66.7,6,True,False,False,temporal
4,115.5,pure2_adaptive,156.4,40.9,6,False,True,False,temporal
4,115.5,pure3_ensemble,170.9,55.4,6,False,False,True,temporal
4,115.5,combo1+2,155.0,39.5,6,True,True,False,temporal
4,115.5,combo1+3,175.8,60.3,6,True,False,True,temporal
4,115.5,combo2+3,167.7,52.2,6,False,True,True,temporal
4,115.5,combo1+2+3,168.7,53.2,6,True,True,True,temporal
4,115.5,ref_pos_no_prior,182.8,67.3,6,False,False,False,temporal
5,135.0,baseline_highhr+oracle,108.4,26.6,9,False,False,False,best_window
5,135.0,pure1_temporal_v1,171.7,36.7,9,True,False,False,best_window
5,135.0,pure2_adaptive,86.7,48.3,9,False,True,False,best_window
5,135.0,pure3_ensemble,107.6,27.4,9,False,False,True,best_window
5,135.0,combo1+2,171.7,36.7,9,True,True,False,best_window
5,135.0,combo1+3,171.7,36.7,9,True,False,True,best_window
5,135.0,combo2+3,85.2,49.8,9,False,True,True,best_window
5,135.0,combo1+2+3,167.0,32.0,9,True,True,True,best_window
5,135.0,ref_pos_no_prior,108.4,26.6,9,False,False,False,best_window
5,135.0,baseline_highhr+oracle,89.4,45.6,6,False,False,False,temporal
5,135.0,pure1_temporal_v1,172.0,37.0,6,True,False,False,temporal
