roi,method,pred_bpm,snr,peak_power_ratio,n_samples
left_ear_base,green,125.39,9.22,0.0053,630
left_ear_base,g_minus_r,125.39,14.1,0.0077,630
left_ear_base,chrom,125.83,10.29,0.0059,630
left_ear_base,pos,126.12,7.9,0.0047,630
left_eye,green,219.14,7.54,0.0037,630
left_eye,g_minus_r,88.77,5.83,0.0035,630
left_eye,chrom,88.92,8.85,0.0051,630
left_eye,pos,122.61,8.86,0.0049,630
mouth_artifact,green,88.62,9.79,0.0054,630
mouth_artifact,g_minus_r,153.37,9.98,0.0053,630
mouth_artifact,chrom,88.18,9.39,0.0049,630
mouth_artifact,pos,101.51,8.94,0.0045,630
nose_bridge,green,97.71,15.64,0.0047,630
nose_bridge,g_minus_r,85.55,10.15,0.0057,630
nose_bridge,chrom,97.85,8.86,0.0046,630
nose_bridge,pos,97.85,9.94,0.0049,630
right_ear_base,green,125.39,9.22,0.0053,630
right_ear_base,g_minus_r,125.39,14.1,0.0077,630
right_ear_base,chrom,125.83,10.29,0.0059,630
right_ear_base,pos,126.12,7.9,0.0047,630
right_eye,green,110.74,9.17,0.0055,630
right_eye,g_minus_r,86.57,14.25,0.0082,630
right_eye,chrom,93.31,10.61,0.0053,630
right_eye,pos,139.89,7.53,0.0044,630
