roi,method,start_frame,raw_bpm,snr,rejection_lenient,rejection_aggressive,motion,artifact_100bpm,mouth,pixel_mean,pixel_min
throat_area,green,0,195.1,18.41,0.0,0.0,4.4,0.02,13.33,2785.5,650.0
throat_area,g_minus_r,0,159.4,4.85,0.0,0.0,4.4,0.052,13.33,2785.5,650.0
throat_area,chrom,0,161.7,5.87,0.0,0.0,4.4,0.038,13.33,2785.5,650.0
throat_area,pos,0,158.8,5.32,0.0,0.0,4.4,0.051,13.33,2785.5,650.0
throat_area,pca,0,197.5,8.84,0.0,0.0,4.4,0.07,13.33,2785.5,650.0
throat_area,ica,0,195.1,11.9,0.0,0.0,4.4,0.002,13.33,2785.5,650.0
throat_area,green,50,196.3,20.9,0.0,0.0,4.16,0.01,14.41,2785.5,650.0
throat_area,g_minus_r,50,162.3,6.77,0.0,0.0,4.16,0.051,14.41,2785.5,650.0
throat_area,chrom,50,179.9,12.78,0.0,0.0,4.16,0.006,14.41,2785.5,650.0
throat_area,pos,50,162.3,7.53,0.0,0.0,4.16,0.05,14.41,2785.5,650.0
throat_area,pca,50,179.3,7.75,0.0,0.0,4.16,0.007,14.41,2785.5,650.0
throat_area,ica,50,178.7,8.53,0.0,0.0,4.16,0.004,14.41,2785.5,650.0
throat_area,green,100,184.6,16.55,0.0,0.0,4.88,0.033,12.22,2785.5,650.0
throat_area,g_minus_r,100,120.1,6.42,0.0,0.0,4.88,0.146,12.22,2785.5,650.0
throat_area,chrom,100,162.9,5.61,0.0,0.0,4.88,0.061,12.22,2785.5,650.0
throat_area,pos,100,155.9,6.9,0.0,0.0,4.88,0.129,12.22,2785.5,650.0
throat_area,pca,100,162.3,6.65,0.0,0.0,4.88,0.067,12.22,2785.5,650.0
throat_area,ica,100,162.9,6.18,0.0,0.0,4.88,0.049,12.22,2785.5,650.0
throat_area,green,150,201.6,8.72,0.0,0.0,5.85,0.037,10.9,2785.5,650.0
throat_area,g_minus_r,150,160.0,9.38,0.0,0.0,5.85,0.169,10.9,2785.5,650.0
throat_area,chrom,150,160.0,8.99,0.0,0.0,5.85,0.052,10.9,2785.5,650.0
throat_area,pos,150,160.0,8.98,0.0,0.0,5.85,0.154,10.9,2785.5,650.0
throat_area,pca,150,160.0,8.97,0.0,0.0,5.85,0.067,10.9,2785.5,650.0
throat_area,ica,150,103.7,8.44,0.0,0.0,5.85,0.545,10.9,2785.5,650.0
throat_area,green,200,202.1,27.94,0.0,0.0,6.59,0.025,11.49,2785.5,650.0
