roi,method,start_frame,raw_bpm,snr,rejection_lenient,rejection_aggressive,motion,artifact_100bpm,mouth,pixel_mean,pixel_min
throat_exposed,green,0,175.2,21.6,0.0,0.0,4.48,0.016,7.81,0.0,0.0
throat_exposed,g_minus_r,0,176.4,18.62,0.0,0.0,4.48,0.1,7.81,0.0,0.0
throat_exposed,chrom,0,186.9,9.55,0.0,0.0,4.48,0.118,7.81,0.0,0.0
throat_exposed,pos,0,176.4,21.29,0.0,0.0,4.48,0.11,7.81,0.0,0.0
throat_exposed,pca,0,176.4,17.6,0.0,0.0,4.48,0.091,7.81,0.0,0.0
throat_exposed,ica,0,175.8,20.25,0.0,0.0,4.48,0.084,7.81,0.0,0.0
throat_exposed,dog_learned,0,186.9,8.75,0.0,0.0,4.48,0.118,7.81,0.0,0.0
throat_exposed,green,50,145.3,58.14,0.0,0.0,4.75,0.012,8.58,0.0,0.0
throat_exposed,g_minus_r,50,117.8,19.71,0.0,0.0,4.75,0.162,8.58,0.0,0.0
throat_exposed,chrom,50,118.4,15.38,0.0,0.0,4.75,0.228,8.58,0.0,0.0
throat_exposed,pos,50,118.4,23.42,0.0,0.0,4.75,0.179,8.58,0.0,0.0
throat_exposed,pca,50,117.8,21.6,0.0,0.0,4.75,0.143,8.58,0.0,0.0
throat_exposed,ica,50,118.4,23.61,0.0,0.0,4.75,0.198,8.58,0.0,0.0
throat_exposed,dog_learned,50,117.8,13.5,0.0,0.0,4.75,0.225,8.58,0.0,0.0
right_ear_base,green,0,135.4,50.41,0.0,0.0,4.48,0.008,7.81,0.0,0.0
right_ear_base,g_minus_r,0,134.8,20.0,0.0,0.0,4.48,0.049,7.81,0.0,0.0
right_ear_base,chrom,0,117.8,10.74,0.0,0.0,4.48,0.317,7.81,0.0,0.0
right_ear_base,pos,0,134.8,11.52,0.0,0.0,4.48,0.13,7.81,0.0,0.0
right_ear_base,pca,0,105.5,7.73,0.0,0.0,4.48,0.304,7.81,0.0,0.0
