video,roi,var_no_sub,var_with_sub,reduction_pct
1,throat_exposed,12.6,8.7,30.9
1,right_ear_base,2.5,2.2,12.3
1,left_ear_base,4.1,4.1,0.1
1,muzzle_skin,2.8,1.6,43.5
1,nose_bridge,1.2,0.8,30.1
3,throat_exposed,14.1,13.6,3.0
3,right_ear_base,114.0,83.0,27.2
3,left_ear_base,194.0,168.1,13.4
3,muzzle_skin,187.0,185.0,1.1
3,nose_bridge,136.9,136.5,0.3
5,throat_exposed,13.0,12.6,3.3
5,right_ear_base,36.8,36.4,1.1
5,left_ear_base,11.5,11.4,1.0
5,muzzle_skin,78.2,77.8,0.5
5,nose_bridge,69.8,69.8,0.1
6,throat_exposed,25.1,24.5,2.5
6,right_ear_base,5.7,5.6,1.6
6,left_ear_base,8.2,8.1,1.9
6,muzzle_skin,44.7,44.3,0.7
6,nose_bridge,22.2,22.1,0.5
7,throat_exposed,123.8,122.6,1.0
7,right_ear_base,479.4,416.1,13.2
7,left_ear_base,211.5,191.9,9.3
7,muzzle_skin,112.8,112.7,0.1
7,nose_bridge,105.9,105.7,0.1
8,throat_exposed,233.1,229.9,1.4
8,right_ear_base,120.3,111.1,7.6
8,left_ear_base,107.8,93.8,13.0
8,muzzle_skin,55.7,47.5,14.7
8,nose_bridge,65.4,56.6,13.5
