video,target_bpm,method,best_bpm,abs_error,snr,roi_used,variant,windows_evaluated
1,175.0,green,97.3,77.7,13.88,throat_exposed,single,9
1,175.0,g_minus_r,97.3,77.7,12.04,muzzle_area,multi,9
1,175.0,chrom,149.4,25.6,5.93,throat_exposed,single,9
1,175.0,pos,134.2,40.8,9.5,throat_exposed,single,9
1,175.0,pca,134.2,40.8,9.43,throat_exposed,single,9
1,175.0,ica,124.8,50.2,11.64,throat_exposed,single,9
1,175.0,dog_learned,145.9,29.1,18.77,throat_exposed,single,9
3,210.0,green,130.7,79.3,10.39,muzzle_area,multi,12
3,210.0,g_minus_r,95.5,114.5,14.01,nose_bridge,single,12
3,210.0,chrom,85.5,124.5,13.87,nose_bridge,single,12
3,210.0,pos,160.5,49.5,8.54,muzzle_area,multi,12
3,210.0,pca,130.7,79.3,12.39,muzzle_area,multi,12
3,210.0,ica,87.3,122.7,18.31,nose_bridge,single,12
3,210.0,dog_learned,180.5,29.5,7.22,ear_area_right,multi,12
4,115.5,green,155.9,40.4,9.35,nose_bridge,single,33
4,115.5,g_minus_r,133.6,18.1,8.31,muzzle_skin,single,33
4,115.5,chrom,132.4,16.9,11.41,muzzle_skin,single,33
4,115.5,pos,133.0,17.5,12.07,ear_area_right,single,33
4,115.5,pca,132.4,16.9,12.68,muzzle_skin,single,33
4,115.5,ica,133.6,18.1,12.0,ear_area_right,single,33
4,115.5,dog_learned,98.4,17.1,11.28,nose_bridge,single,33
5,135.0,green,100.8,34.2,23.12,throat_exposed,single,9
5,135.0,g_minus_r,124.2,10.8,14.33,throat_exposed,single,9
5,135.0,chrom,89.1,45.9,15.56,muzzle_skin,single,9
5,135.0,pos,105.5,29.5,16.56,throat_exposed,single,9
5,135.0,pca,123.6,11.4,21.44,throat_exposed,single,9
5,135.0,ica,128.3,6.7,9.28,muzzle_skin,single,9
5,135.0,dog_learned,134.8,0.2,10.37,throat_exposed,single,9
6,90.0,green,186.3,96.3,12.86,right_ear_base,single,9
6,90.0,g_minus_r,92.6,2.6,13.12,muzzle_skin,single,9
6,90.0,chrom,144.1,54.1,6.32,right_ear_base,single,9
6,90.0,pos,86.1,3.9,15.47,muzzle_skin,single,9
6,90.0,pca,186.3,96.3,11.17,right_ear_base,single,9
6,90.0,ica,186.3,96.3,11.55,right_ear_base,single,9
6,90.0,dog_learned,103.7,13.7,9.04,right_ear_base,single,9
7,189.5,green,95.5,94.0,15.1,nose_bridge,single,12
7,189.5,g_minus_r,132.4,57.1,14.39,throat_exposed,single,12
7,189.5,chrom,128.3,61.2,10.1,nose_bridge,single,12
7,189.5,pos,126.6,62.9,10.32,nose_bridge,single,12
7,189.5,pca,132.4,57.1,13.29,throat_exposed,single,12
7,189.5,ica,126.6,62.9,13.71,nose_bridge,single,12
7,189.5,dog_learned,169.9,19.6,35.21,nose_bridge,single,12
8,110.5,green,111.9,1.4,6.06,ear_area_right,single,9
8,110.5,g_minus_r,122.5,12.0,4.65,nose_bridge,single,9
8,110.5,chrom,124.8,14.3,8.83,ear_area_right,single,9
8,110.5,pos,124.2,13.7,9.36,ear_area_right,single,9
8,110.5,pca,122.5,12.0,11.33,nose_bridge,single,9
8,110.5,ica,123.6,13.1,9.41,nose_bridge,single,9
8,110.5,dog_learned,132.4,21.9,6.22,muzzle_skin,single,9
