video,variant,name,pixel_mean,pixel_min,pixel_std,n_patches,gr_var,best_bpm,best_snr,best_method,quality,apply_ab
1,single_center,throat_exposed,1936.0,1936.0,0.0,1,116.22,146.5,19.97,ica,good,True
1,single_center,right_ear_base,1024.0,1024.0,0.0,1,98.87,195.7,46.65,green,good,True
1,single_center,left_ear_base,1024.0,1024.0,0.0,1,193.6,185.2,23.43,green,good,True
1,single_center,muzzle_skin,676.0,676.0,0.0,1,57.4,169.3,29.49,green,good,True
1,single_center,nose_bridge,1296.0,1296.0,0.0,1,58.75,202.1,18.7,green,good,True
1,multi_patch_area,throat_area,2896.0,2896.0,0.0,2,125.64,145.9,18.68,ica,good,True
1,multi_patch_area,ear_area_right,1476.0,1476.0,0.0,2,65.94,195.7,33.01,green,good,True
1,multi_patch_area,ear_area_left,1476.0,1476.0,0.0,2,117.98,186.9,13.15,green,good,True
1,multi_patch_area,muzzle_area,976.0,976.0,0.0,2,53.81,201.0,35.37,green,good,True
1,multi_kp_center,throat_multi_kp,1600.0,1600.0,0.0,1,131.35,146.5,20.2,g_minus_r,good,True
1,multi_kp_center,ear_right_multi_kp,784.0,784.0,0.0,1,74.44,197.5,32.94,green,good,True
1,fusion_weighted,single_roi_weighted,1191.2,0.0,0.0,5,42.42,139.5,8.76,green,fused,True
3,single_center,throat_exposed,1906.1,441.0,209.3,1,268.8,204.5,14.53,green,good,True
3,single_center,right_ear_base,1008.0,225.0,111.9,1,774.21,171.7,22.69,green,good,True
3,single_center,left_ear_base,1007.9,225.0,111.9,1,636.34,203.9,13.52,green,good,True
3,single_center,muzzle_skin,665.4,144.0,74.5,1,444.87,198.6,9.45,green,good,True
3,single_center,nose_bridge,1275.9,289.0,141.0,1,378.54,87.3,10.62,pca,good,True
3,multi_patch_area,throat_area,2851.1,650.0,314.4,2,248.95,177.5,14.96,green,good,True
3,multi_patch_area,ear_area_right,1452.8,317.0,162.3,2,483.82,150.0,59.67,green,good,True
3,multi_patch_area,ear_area_left,1452.2,317.0,162.4,2,556.57,140.6,32.98,green,good,True
3,multi_patch_area,muzzle_area,960.5,202.0,108.4,2,520.2,209.8,14.48,green,good,True
3,multi_kp_center,throat_multi_kp,1575.2,361.0,173.5,1,271.38,204.5,13.55,green,good,True
3,multi_kp_center,ear_right_multi_kp,771.7,169.0,86.1,1,670.83,177.5,18.21,green,good,True
