video,target,est_bpm,mae,n_windows,use_spectrum,use_tracker,config
1,175.0,153.6,21.4,9,True,False,pure1_spectrum_only
1,175.0,129.2,45.8,9,False,True,pure3_tracker_only
1,175.0,158.7,16.3,9,True,True,combo_1+3
3,210.0,218.9,8.9,9,True,False,pure1_spectrum_only
3,210.0,112.5,97.5,9,False,True,pure3_tracker_only
3,210.0,184.9,25.1,9,True,True,combo_1+3
4,115.5,148.0,32.5,12,True,False,pure1_spectrum_only
4,115.5,97.8,17.7,12,False,True,pure3_tracker_only
4,115.5,157.8,42.3,12,True,True,combo_1+3
5,135.0,130.5,4.5,9,True,False,pure1_spectrum_only
5,135.0,132.1,2.9,9,False,True,pure3_tracker_only
5,135.0,152.1,17.1,9,True,True,combo_1+3
6,90.0,109.8,19.8,9,True,False,pure1_spectrum_only
6,90.0,123.5,33.5,9,False,True,pure3_tracker_only
6,90.0,129.6,39.6,9,True,True,combo_1+3
7,189.5,150.6,38.9,9,True,False,pure1_spectrum_only
7,189.5,116.2,73.3,9,False,True,pure3_tracker_only
7,189.5,167.4,22.1,9,True,True,combo_1+3
8,110.5,112.1,1.6,9,True,False,pure1_spectrum_only
8,110.5,129.0,18.5,9,False,True,pure3_tracker_only
8,110.5,139.8,29.3,9,True,True,combo_1+3
