video,window_index,window_start_sec,window_end_sec,roi_id,roi_label,roi_kind,method,preprocess,peak_rank,peak_bpm,bpm_min,bpm_max,bpm_target,target_abs_error,range_error,within_range,snr,total_power_ratio,spectral_entropy,h2_ratio,half_ratio,valid_fraction,box_motion,color_cv,roi_motion,mask_valid_fraction,mask_area,mask_area_change,roi_motion_coherence,bg_motion_coherence,mask_motion_coherence,roi_motion_peak_bpm,bg_motion_peak_bpm,mask_motion_peak_bpm,artifact_100bpm,artifact_state,quality_score,segmentation_score
1.mp4,0,0.0,19.933,animal_full,Animal full mask,mask,green,raw,1,116.455,170.0,180.0,175.0,58.545,53.545,False,46.749,0.02919,0.817018,0.000303,0.01371,0.8299,0.002636,0.057735,0.026865,1.0,0.232211,0.000913,0.0,0.0,0.0,102.832,101.074,90.967,False,stable_mask_roi,5.962248,5.962248
1.mp4,0,0.0,19.933,animal_full,Animal full mask,mask,green,raw,2,122.168,170.0,180.0,175.0,52.832,47.832,False,34.252,0.021387,0.817018,0.002534,0.018712,0.8299,0.002636,0.057735,0.026865,1.0,0.232211,0.000913,0.0,0.0,0.0,102.832,101.074,90.967,False,stable_mask_roi,5.234463,5.234463
1.mp4,0,0.0,19.933,animal_full,Animal full mask,mask,green,bg_motion_residual,1,116.455,170.0,180.0,175.0,58.545,53.545,False,47.273,0.029099,0.816318,0.000413,0.011793,0.8299,0.002636,0.057735,0.026865,1.0,0.232211,0.000913,0.0,0.0,0.0,102.832,101.074,90.967,False,stable_mask_roi,5.972974,6.152974
1.mp4,0,0.0,19.933,animal_full,Animal full mask,mask,green,bg_motion_residual,2,122.168,170.0,180.0,175.0,52.832,47.832,False,35.041,0.021569,0.816318,0.002518,0.01591,0.8299,0.002636,0.057735,0.026865,1.0,0.232211,0.000913,0.0,0.0,0.0,102.832,101.074,90.967,False,stable_mask_roi,5.263995,5.443995
1.mp4,0,0.0,19.933,animal_full,Animal full mask,mask,chrom,raw,1,106.348,170.0,180.0,175.0,68.652,63.652,False,24.275,0.019831,0.854036,0.017019,0.005367,0.8299,0.002636,0.057735,0.026865,1.0,0.232211,0.000913,1.0,0.0,0.0,102.832,101.074,90.967,False,motion_locked_peak,5.020929,3.370929
1.mp4,0,0.0,19.933,animal_full,Animal full mask,mask,chrom,raw,2,119.971,170.0,180.0,175.0,55.029,50.029,False,17.347,0.014171,0.854036,0.00207,0.007511,0.8299,0.002636,0.057735,0.026865,1.0,0.232211,0.000913,0.0,0.0,0.0,102.832,101.074,90.967,False,stable_mask_roi,4.282351,4.282351
1.mp4,0,0.0,19.933,animal_full,Animal full mask,mask,chrom,bg_motion_residual,1,106.348,170.0,180.0,175.0,68.652,63.652,False,24.988,0.01984,0.853944,0.017256,0.005748,0.8299,0.002636,0.057735,0.026865,1.0,0.232211,0.000913,1.0,0.0,0.0,102.832,101.074,90.967,False,motion_locked_peak,5.050489,3.580489
1.mp4,0,0.0,19.933,animal_full,Animal full mask,mask,chrom,bg_motion_residual,2,119.971,170.0,180.0,175.0,55.029,50.029,False,17.89,0.014204,0.853944,0.002059,0.008029,0.8299,0.002636,0.057735,0.026865,1.0,0.232211,0.000913,0.0,0.0,0.0,102.832,101.074,90.967,False,stable_mask_roi,4.314155,4.494155
1.mp4,0,0.0,19.933,animal_non_face,Animal mask excluding face,mask_body,green,raw,1,117.334,170.0,180.0,175.0,57.666,52.666,False,41.448,0.029975,0.824667,0.000841,0.009531,0.3247,0.002636,0.064441,0.021041,1.0,0.232211,0.000913,1.0,0.0,0.0,115.137,101.074,90.967,False,motion_locked_peak,5.518462,4.048462
1.mp4,0,0.0,19.933,animal_non_face,Animal mask excluding face,mask_body,green,raw,2,105.469,170.0,180.0,175.0,69.531,64.531,False,25.737,0.018613,0.824667,0.023483,0.01535,0.3247,0.002636,0.064441,0.021041,1.0,0.232211,0.000913,0.0,0.0,0.0,115.137,101.074,90.967,False,stable_mask_roi,4.532366,4.712366
1.mp4,0,0.0,19.933,animal_non_face,Animal mask excluding face,mask_body,green,bg_motion_residual,1,117.334,170.0,180.0,175.0,57.666,52.666,False,44.411,0.030461,0.823072,0.001292,0.008582,0.3247,0.002636,0.064441,0.021041,1.0,0.232211,0.000913,1.0,0.0,0.0,115.137,101.074,90.967,False,motion_locked_peak,5.601837,4.311837
