method,region_id,region_label,region_kind,n,target_mae,target_rmse,range_mae,within_range_pct,median_quality_score
g_minus_r,patch_r05_c05,Patch R5 C5,patch,7,43.128,57.337,36.771,0.0,4.555
chrom,patch_r05_c03,Patch R5 C3,patch,7,43.128,55.935,36.771,0.0,3.965
pos,patch_r05_c03,Patch R5 C3,patch,7,43.379,57.577,37.022,0.0,4.052
chrom,patch_r04_c05,Patch R4 C5,patch,7,43.568,56.527,37.21,0.0,4.132
chrom,patch_r01_c03,Patch R1 C3,patch,7,43.323,57.342,37.288,14.29,4.431
chrom,patch_r04_c01,Patch R4 C1,patch,7,43.505,57.583,37.414,14.29,4.032
green,patch_r05_c04,Patch R5 C4,patch,7,43.819,56.825,37.461,0.0,4.39
pos,patch_r02_c02,Patch R2 C2,patch,7,44.013,61.23,37.656,0.0,4.204
pos,patch_r01_c02,Patch R1 C2,patch,7,44.264,59.484,37.907,0.0,4.142
pos,patch_r04_c01,Patch R4 C1,patch,7,44.195,59.279,38.104,14.29,4.256
pos,patch_r02_c01,Patch R2 C1,patch,7,44.635,57.479,38.278,0.0,4.212
chrom,patch_r02_c01,Patch R2 C1,patch,7,44.698,57.415,38.341,0.0,4.07
chrom,patch_r03_c04,Patch R3 C4,patch,7,44.76,58.802,38.403,0.0,3.869
chrom,face_full,Full face,roi,7,44.76,59.763,38.481,14.29,4.198
pca,patch_r03_c04,Patch R3 C4,patch,7,44.886,59.976,38.529,0.0,4.807
pos,mid_face,Mid face,roi,7,44.949,57.171,38.592,0.0,4.302
pos,face_full,Full face,roi,7,45.074,60.585,38.717,0.0,4.146
g_minus_r,patch_r02_c02,Patch R2 C2,patch,7,45.2,57.6,38.843,0.0,4.5
chrom,patch_r02_c02,Patch R2 C2,patch,7,45.263,60.598,38.905,0.0,4.045
ica,patch_r05_c03,Patch R5 C3,patch,7,45.325,59.606,38.968,0.0,4.648
chrom,patch_r01_c02,Patch R1 C2,patch,7,45.395,59.944,39.037,0.0,4.212
pos,patch_r03_c01,Patch R3 C1,patch,7,45.451,59.011,39.094,0.0,4.445
chrom,patch_r05_c04,Patch R5 C4,patch,7,45.451,59.317,39.094,0.0,4.186
g_minus_r,patch_r02_c05,Patch R2 C5,patch,7,45.514,59.027,39.156,0.0,4.292
pca,patch_r05_c03,Patch R5 C3,patch,7,45.514,59.655,39.157,0.0,4.917
pos,patch_r01_c04,Patch R1 C4,patch,7,45.514,61.568,39.157,0.0,4.188
pos,patch_r02_c05,Patch R2 C5,patch,7,45.577,58.799,39.219,0.0,4.394
pos,patch_r03_c04,Patch R3 C4,patch,7,45.765,59.394,39.408,0.0,3.9
pos,patch_r05_c04,Patch R5 C4,patch,7,45.89,58.586,39.533,0.0,4.404
green,patch_r03_c04,Patch R3 C4,patch,7,46.016,62.666,39.659,0.0,4.462
pos,patch_r03_c05,Patch R3 C5,patch,7,46.016,60.281,39.659,0.0,4.152
chrom,patch_r05_c05,Patch R5 C5,patch,7,46.142,60.428,39.784,0.0,4.171
ica,patch_r05_c04,Patch R5 C4,patch,7,46.204,59.57,39.847,0.0,4.763
chrom,patch_r02_c03,Patch R2 C3,patch,7,46.204,57.867,39.847,0.0,4.116
g_minus_r,patch_r04_c05,Patch R4 C5,patch,7,46.142,62.412,39.862,14.29,4.231
chrom,patch_r03_c01,Patch R3 C1,patch,7,45.828,58.987,39.873,14.29,4.298
green,patch_r04_c05,Patch R4 C5,patch,7,46.267,59.057,39.91,0.0,4.312
chrom,patch_r01_c04,Patch R1 C4,patch,7,46.393,61.457,40.036,0.0,4.134
ica,patch_r05_c05,Patch R5 C5,patch,7,46.581,59.92,40.239,14.29,4.854
chrom,patch_r05_c01,Patch R5 C1,patch,7,46.832,60.245,40.475,0.0,4.097
chrom,patch_r03_c02,Patch R3 C2,patch,7,46.832,63.424,40.49,14.29,4.229
ica,patch_r02_c02,Patch R2 C2,patch,7,46.895,59.593,40.538,0.0,4.718
green,patch_r05_c03,Patch R5 C3,patch,7,46.895,60.485,40.538,0.0,4.451
pos,patch_r01_c03,Patch R1 C3,patch,7,46.957,58.9,40.6,0.0,4.251
g_minus_r,patch_r02_c03,Patch R2 C3,patch,7,47.02,59.076,40.663,0.0,4.582
pca,patch_r04_c04,Patch R4 C4,patch,7,47.083,57.947,40.726,0.0,4.84
chrom,lower_face,Lower face,roi,7,47.083,61.884,40.726,0.0,4.314
ica,patch_r02_c05,Patch R2 C5,patch,7,47.209,60.416,40.852,0.0,4.905
pos,patch_r02_c03,Patch R2 C3,patch,7,47.209,59.43,40.852,0.0,4.508
g_minus_r,patch_r01_c04,Patch R1 C4,patch,7,47.209,60.23,40.852,0.0,4.368
pca,patch_r01_c03,Patch R1 C3,patch,7,47.334,60.609,40.977,0.0,5.004
g_minus_r,patch_r02_c01,Patch R2 C1,patch,7,47.334,59.204,40.977,0.0,4.612
chrom,patch_r01_c01,Patch R1 C1,patch,7,47.397,60.274,41.04,0.0,4.508
green,patch_r04_c01,Patch R4 C1,patch,7,47.46,59.519,41.103,0.0,4.462
g_minus_r,patch_r03_c04,Patch R3 C4,patch,7,47.585,61.661,41.228,0.0,4.322
g_minus_r,mid_face,Mid face,roi,7,47.586,60.224,41.228,0.0,4.958
pca,patch_r04_c05,Patch R4 C5,patch,7,47.648,60.548,41.291,0.0,4.817
ica,patch_r03_c04,Patch R3 C4,patch,7,47.648,62.758,41.291,0.0,4.748
g_minus_r,patch_r05_c01,Patch R5 C1,patch,7,47.648,60.728,41.291,0.0,4.448
pca,patch_r02_c02,Patch R2 C2,patch,7,47.711,59.628,41.354,0.0,4.918
pos,patch_r01_c01,Patch R1 C1,patch,7,47.711,60.004,41.354,0.0,4.246
pos,patch_r05_c01,Patch R5 C1,patch,7,47.711,60.591,41.354,0.0,4.088
g_minus_r,patch_r01_c03,Patch R1 C3,patch,7,47.774,60.25,41.417,0.0,4.631
green,patch_r01_c01,Patch R1 C1,patch,7,47.836,60.225,41.479,0.0,4.74
green,patch_r05_c05,Patch R5 C5,patch,7,47.836,60.774,41.479,0.0,4.336
pca,patch_r01_c05,Patch R1 C5,patch,7,47.837,61.172,41.479,0.0,5.402
green,patch_r04_c04,Patch R4 C4,patch,7,47.899,58.82,41.542,0.0,4.505
ica,patch_r02_c03,Patch R2 C3,patch,7,47.962,60.854,41.605,0.0,5.009
